id,source,policy_text,best_article_number,heuristic_score,semantic_score,llm_verdict,llm_score,llm_assessment,combined_score,combined_label
www_aig_com_privacy_001,www_aig_com_privacy,"privacy policy  aig us skip to main content javascript has been disabled on this browser. for a seamless experience, please enable the option to run javascript on this device back risk solutions  risk solutions at aig, we give our clients and partners the confidence to look ahead knowing that they h...",14,0.5,0.088,Non-compliant,0.0,"Article: Article 14 — (Nan) - Deletion of irrelevant content.
Verdict: Partially compliant, non-compliant sections.
Why: The paragraph mentions a GDPR context but does not directly address the information requirements for when personal data were obtained from individuals who are part of 'nan'. Compliance is implied to be missing as it's not explicitly stated in this truncated section. 
Fix: Remove non-compliant content and ensure that if there was a mention of processing without direct communication, it should provide information about the intended purposes for which personal data will be processed along with legal basis details per Article 14(1)(c) & (f).",0.147,Likely non-compliant
www_visa_co_uk_privacy_001,www_visa_co_uk_privacy,"visa privacy centre  visa visa privacy centre global privacy notice visa cookie notice local country/territory page visa privacy center visa values your trust and respects your privacy. this privacy center will help you understand how we collect, use, and share your personal information. you can als...",14,0.542,0.037,Partially compliant,0.5,"Article: Article 14 - Information to be provided where personal data have not been obtained from the data subject.
Verdict: Partially compliant
Why: The paragraph provides some but not all required information, such as contact details and purposes of processing; it also fails to explicitly mention legal bases for processing or transfer mechanisms in third countries.
Fix: Include detailed sections on legal basis(es) used for data processing within the privacy notice that align with GDPR requirements and clearly state any intended personal data transfers, along with appropriate safeguards like standard contractual clauses if applicable.",0.395,Partially compliant
www_netflix_com_privacy_001,www_netflix_com_privacy,"privacy statement  netflix help center help center join netflix sign in help center back to help home print contacting us section a: our collection, use, and disclosure of personal information the categories of personal information we collect where we collect personal information from how we use you...",14,0.875,0.087,Partially compliant,0.5,"Article: Article 14 (Information to be provided where personal data have not been obtained from the data subject)
Verdict: Partially compliant
Why: The paragraph provides contact details and purpose of processing but lacks information about recipients, cross-border transfers with adequacy decisions or safeguards. 
Fix: Include a section on international transfer mechanisms if applicable (e.g., mentioning an EU Commission decision for data protection).",0.491,Partially compliant
www_cam_ac_uk_privacy_001,www_cam_ac_uk_privacy,privacy policy  university of cambridge study at cambridge about the university research at cambridge for cambridge students for staff for alumni for our researchers business and enterprise colleges and departments give to cambridge libraries museums and collections search search study at cambridge ...,14,0.625,0.109,Partially compliant,0.5,"Article: Article 14 - Right of access by the data subject to personal data
Verdict: Partially compliant
Why: The paragraph provides some required information like purpose and categories, but fails to disclose specifics on identity details or international transfers.  
Fix: Include detailed contact info for both controller's representative/data protection officer (if applicable) and third country recipients of data if any are involved in the process.",0.434,Partially compliant
www_whitehouse_gov_privacy_001,www_whitehouse_gov_privacy,privacy  the white house menu president donald j. trump the white house search news articles briefings  statements fact sheets presidential actions executive orders nominations  appointments presidential memoranda proclamations remarks administration donald j. trump jd vance melania trump usha vance...,14,0.625,0.065,Partially compliant,0.5,"Article: Article 14 — Information to be provided where personal data have not been obtained from the data subject.
Verdict: Partially compliant
Why: The paragraph mentions providing information about the identity of controllers, purposes of processing and legal basis for it but lacks explicit mentioning or details on transferring data internationally with adequacy decisions/safeguards which is mandatory under GDPR Article 14.
Fix: Include a statement clarifying how personal data will be transferred to recipients in third countries, along with information about the existence of an adequacy decision or appropriate safeguards and where they can access these details (e.g., on the website).",0.422,Partially compliant
www_booking_com_privacy_001,www_booking_com_privacy,booking.com: privacy  cookie statement. skip to main content gbp choose your currency. your current currency is pound sterling choose your language. your current language is english (uk) get help with your reservation list your property register sign in stays flights flight  hotel car rental attract...,13,0.792,0.198,Partially compliant,0.5,"Article: Article 13 (Nan)
Verdict: Partially compliant
Why: The paragraph acknowledges the need for information disclosure under GDPR but lacks specifics on all required items. It mentions providing a privacy notice to travellers and sharing data within Booking, yet it does not explicitly cover identity details of controllers or legal bases for processing among other missing elements from Article 13(2).
Fix: To comply fully with GDPR's Article 13 requirements, the paragraph must include explicit information about controller identities (Article references), contact info, data protection officer contacts if applicable, specific purposes and intended legal basis for processing personal data, details on third-country transfers including adequacy decisions or appropriate safeguards.",0.497,Partially compliant
www_kayak_com_privacy_001,www_kayak_com_privacy,kayak - privacy policy skip to main content sign in flights stays cars packages ai mode plan your trip explore flight tracker travel tips kayak for business new trips english search for a country or language argentina australia belgique (français) belgië (nederlands) bolivia brasil canada (english) ...,14,0.708,0.154,Partially compliant,0.5,"Article: Article 14 (Nan)
Verdict: Partially Compliant
Why: The paragraph provides some required information like the identity of controller, contact details for data subjects in general but lacks specificity and does not mention legal basis or purpose for processing. It also omits details about recipients other than the subject themselves (Article 14(e) compliance).
Fix: Include explicit mentions of purposes/legal bases of processing personal data, identify categories where applicable; provide detailed information on third-country transfers and safeguards in place with appropriate links or references.",0.466,Partially compliant
www_gov_uk_privacy_001,www_gov_uk_privacy,"privacy notice - gov.uk cookies on gov.uk we use some essential cookies to make this website work. wed like to set additional cookies to understand how you use gov.uk, remember your settings and improve government services. we also use cookies set by other sites to help us deliver content from their...",13,0.667,0.148,Partially compliant,0.5,"Article: Article 13 — Information to be provided where personal data are collected from the data subject.
Verdict: Partially compliant
Why: The paragraph does inform users about cookies and their purpose, but it lacks specific details required by GDPR such as contact information of controllers/representatives and explicit mention that consent is sought for non-essential or additional cookies not strictly necessary.
Fix: Provide complete contact details for the controller(s) including representative where applicable in a clear manner along with stating explicitly whether user's continued use constitutes acceptance, seeking informed consent specifically for any non-necessary cookie usage beyond essential ones required to make site work and ensuring transparency about legitimate interests pursued.",0.454,Partially compliant
www_shopify_com_privacy_001,www_shopify_com_privacy,shopify privacy policy - shopify skip to content solutions start start your business . build your brand create your website . online store editor customize your store . store themes find business apps . shopify app store own your site domain . domains  hosting explore free business tools . tools to ...,14,0.875,0.124,Partially compliant,0.5,"Article: Article 14 - Information to be provided when personal data are not obtained from the data subject.
Verdict: Partially Compliant
Why: The paragraph provides some of the required information but lacks specific details regarding the purposes and legal basis for processing, categories of personal data concerned, recipients or categories thereof, third-country transfers with safeguards mentioned only in general terms. Also missing is explicit mention that no personal data was obtained directly from the subject unless additional context confirms this exemption to direct collection exists within Shopify's practices for non-consenting users.
Fix: Include detailed information about purposes and legal basis, specify categories of personal data processed (e.g., name, email), clearly mention recipients or types thereof if any are involved in processing the user’s data without their consent; outline details regarding third-country transfers with specific safeguards available for users to review.",0.5,Partially compliant
www_ryanair_com_privacy_001,www_ryanair_com_privacy,privacy policy skip to main content plan faqs my bookings log in myryanair portal effective date: 24 march 2025 2025 â ryanair dac. all rights reserved. a card payment processing fee may be applied to your booking. this fee will be reflected in the total price once the card number has been entered. ...,87,0.417,0.039,Partially compliant,0.5,"Article: Article 87 - Processing of national identification number  
Verdict: Partially compliant  
Why: The paragraph references using a card payment, which may involve processing personal data; however, the use and safeguarding of such information are not explicitly mentioned.  
Fix: Include clear statements about how ryanair processes payments involving national identification numbers with appropriate data protection measures in compliance with Article 87 GDPR requirements.",0.364,Partially compliant
www_emirates_com_privacy_001,www_emirates_com_privacy,privacy policy  emirates website policy and information  emirates skip to the main content accessibility information book book about booking online search flights manage search flights experience search flights where we fly search flights loyalty search flights help search flights global search menu...,14,0.75,0.164,Partially compliant,0.5,"Article: Article 14 - Information to be provided where personal data have not been obtained from the data subject.
Verdict: Partially Compliant
Why: The paragraph does provide some of the required information such as contact details for Emirates, but it lacks specifics like legal basis and categories of processed data (Article 14(c)). It also fails to mention anything about third-country transfers which is a requirement under Article 14.
Fix: Include explicit statements regarding the purpose and legal grounding for processing personal data, as well as details on how Emirates handles potential international data transfer scenarios.",0.479,Partially compliant
www_apple_com_privacy_001,www_apple_com_privacy,legal - apple privacy policy - apple apple store mac ipad iphone watch vision airpods tv  home entertainment accessories support 0  privacy local nav open menu local nav close menu overview features control labels transparency report privacy policy english choose your preferred language apple privac...,13,0.792,0.173,Partially compliant,0.5,"Article: Article 13 — Information to be provided where personal data are collected from the data subject.
Verdict: Partially compliant.
Why: The paragraph provides some required information like purpose of processing and legal basis for it, but lacks details on recipients or categories thereof (e) as per GDPR requirement. It also does not fully address points regarding product-specific data usage prompts that ask to use personal data directly from the user without prior consent or notice which is a violation if such features are in place according to Article 13(c).
Fix: Ensure clear disclosure of recipients for any collected personal data and explicitly inform users about any product-specific features requesting direct usage of their personal data. Prompt the user with an opt-in consent before engaging these specific features that require access or use to personal information, aligning this approach directly within Article 13(c) guidels for GDPR compliance.",0.491,Partially compliant
cloudflare_privacy_001,cloudflare_privacy,"cloudflare privacy policy this privacy policy is effective as of july 08, 2025. we have updated our april 22, 2025 privacy policy to disclose cloudflares certification to the global cbpr (cross-border privacy rules) and global prp (privacy recognition for processors) systems for the transfer of pers...",14,0.75,0.147,Partially compliant,0.5,"Article: Article 14 — Information to be provided where personal data have not been obtained from the data subject.
Verdict: Partially compliant.
Why: The paragraph indicates information about purposes of processing and legal basis for transfer but lacks complete details on recipients, categories or safeguards in case of international transfers as per Article 14 requirements.
Fix: Provide comprehensive contact information for the controller’s representative; specify all intended data recipients including their roles where applicable; detail existing adequacy decisions or appropriate safeguards if personal data are transferred to third countries, following GDPR transfer mechanisms outlined in Article 46 and 47.",0.474,Partially compliant
www_nytimes_com_privacy_001,www_nytimes_com_privacy,the new york times company privacy policy - the new york times help center help center your account  nytimes.com help  permissions and policies  policies the new york times company privacy policy table of contents 1. what information do we gather about you? 1. (a) information collected through times...,14,0.708,0.139,Partially compliant,0.5,"Article: Article 14 - Information to be provided where personal data have not been obtained from the data subject
Verdict: Partially compliant
Why: The paragraph lists many required elements but lacks a clear statement about transferring personal data out of the EU and mentions safeguards for such transfers. It is incomplete regarding information on recipients or categories if any, which must be addressed in full detail as per GDPR Article 14(e).
Fix: Include specific details about third-country recipient processing purposes where applicable, ensuring to comply with paragraphs (f) and also provide a complete list of potential internal/external recipients or categories thereof.",0.462,Partially compliant
www_ibm_com_privacy_001,www_ibm_com_privacy,ibm privacy statement home privacy ibm privacy statement this privacy statement is effective as of 26 august 2025 contact us introduction at ibm we value your privacy and are committed to protecting and processing your personal information responsibly. this privacy statement describes how ibm collec...,14,0.708,0.133,Partially compliant,0.5,"Article: Article 14 — Information to be provided where personal data have not been obtained from the data subject.
Verdict: Partially compliant.
Why: The paragraph does provide some of the necessary information, but it lacks details about legal basis for processing and categories of recipients or purposes beyond 'business relationship'. It also omits specifics on transfer to third countries/organizations without an adequacy decision.
Fix: Add detailed reasons for data processing (legal bases), specify categories of recipients where applicable, clarify personal information intended for third country transfers and the safeguards in place or planned regarding such transactions.",0.46,Partially compliant
www_myfitnesspal_com_privacy_001,www_myfitnesspal_com_privacy,"privacy policy  myfitnesspal log in sign up exercise apps community blog premium myfitnesspal privacy policy effective date: march 18, 2025 hello! during your time with myfitnesspal, youâll discover the impact of your food choices and how to build healthier habits that support your goals. itâs a ver...",14,0.625,0.177,Partially compliant,0.5,"Article: Article 14 - Information to be provided where personal data have not been obtained from the data subject.  
Verdict: Partially compliant  
Why: The paragraph does provide contact details for the company and mentions that it collects information, which is required by GDPR but lacks detailed explanation on legal basis or categories of processed data directly in this section as per Article 14. It also fails to mention if personal data transfer occurs outside Europe without an adequacy decision or appropriate safeguards in place.  
Fix: Revise the paragraph to clearly state and detail all required information, such as purposes for processing specific categories of personal data obtained from other sources (if any), legal basis for this collection directly under Article 14(c) reference with explanation, inclusion of an adequacy decision or appropriate safeguard details if applicable.",0.45,Partially compliant
namecheap_privacy_001,namecheap_privacy,"namecheap privacy policy namecheap is a leader in online privacy rights. we have created this privacy statement in order to demonstrate our commitment to you, our customer, through transparent, easy-to-understand information regarding our data practices. you will understand what we collect, why we c...",14,0.625,0.125,Partially compliant,0.5,"Article: Article 14 — Right of access by the data subject
Verdict: Partially compliant
Why: The paragraph provides some information as required, such as the identity and contact details for account level personal data processing. However, it lacks explicit mention about additional privacy practices found in specific products or services' detailed sections which should be made available to the user under GDPR Article 14(9).
Fix: Ensure that clear links or references are provided within this policy statement directing users where they can find more details on how personal data is handled for each product, service, and technology. Include an explicit reference section at the end of this privacy policy with URLs to these detailed sections if available online.",0.438,Partially compliant
www_intuit_com_privacy_001,www_intuit_com_privacy,"intuit privacy: turbotax, credit karma, quickbooks, and mailchimp privacy  security your privacy privacy statements security center responsible ai faq contact us overview protect your privacy do not call policy for consumers english français français (canada) español for applicants  employees englis...",14,0.417,0.056,Partially compliant,0.5,"Article: Article 14 — Information to be provided where personal data have not been obtained from the data subject.  
Verdict: Partially compliant  
Why: The paragraph provides some required information under (a), (b), and partially addresses point (c) but fails in providing details for points (d), (e), (f).  
Fix: Include specific categories of personal data processed, identities or contact info of the recipients to whom personal data will be disclosed.",0.368,Partially compliant
www_barclays_co_uk_privacy_001,www_barclays_co_uk_privacy,control your privacy and data  gdpr  barclays skip to: main content barclays home personal close menu premier business wealth management corporate private bank international banking close contact us find barclays search log in menu accounts back accounts accounts compare current accounts barclays ba...,15,0.625,0.197,Partially compliant,0.5,"Article: Article 15 — Right of access by the data subject under GDPR.
Verdict: Partially compliant.
Why: The paragraph provides some elements required in a right of access request but lacks clear information about purposes, categories, recipients and storage period or criteria for determining it as mandated by Article 15(a)-(d). It also does not mention the data subject'in rights under this article nor consent to automated decision-making.
Fix: Include explicit statements describing why personal data is processed (purposes), categories of personal data, third-country recipients or international organisations involved in processing and specify how long it will be stored if possible or criteria used for determining the storage period as required by Article 15(a)-(d). Also provide information about rights under this article to rectification/erasure request or objecting further data processing, including details on automated decision-making.

Paragraph: control your privacy and data gdpr barclays skip to main content personal close menu premier business wealth management corporate private bank international banking find contact us log in menu accounts back account compare student current joint blue rewards tools app debit cards help overdrafts mortgages first-time buyer let.

Relevant GDPR context: Article 15 — Right of access by the data subject under GDPR, as described above.",0.455,Partially compliant
anthropic_com_privacy_001,anthropic_com_privacy,"privacy policy  anthropic skip to main content skip to footer research economic futures commitments learn news try claude privacy policy effective october 8, 2025 previous version english anthropic is an ai safety and research company working to build reliable, interpretable, and steerable ai system...",14,0.792,0.262,Partially compliant,0.5,"Article: Article 14 — Right of access by the data subject to personal data
Verdict: Partially compliant
Why: The paragraph provides some required information like purpose and categories, but it lacks comprehensive details about recipients or transfers. It also does not mention if this privacy policy applies when processing is carried out without obtaining explicit consent from the individual concerned (article 6 derogations).
Fix: Expand on providing detailed information regarding third-country data transfer and add a clear statement addressing scenarios where personal data are processed without prior consent.",0.513,Partially compliant
canva_com_privacy_001,canva_com_privacy,privacy policy your browser is not supported and may not give the best experience. loading design digital design canva visual suite sheets docs whiteboards presentations social photo editor videos print websites popular in digital design resumes logos infographics graphs and charts draw pdf editor a...,14,0.625,0.09,Partially compliant,0.5,"Article: Article 14 — Rights of the data subject to obtain information about processing activities.
Verdict: Partially compliant
Why: The paragraph does provide some required elements such as purposes for processing and categories of personal data, but it lacks a complete mentioning of recipients and missing explicit reference regarding international transfers or safeguards where applicable.
Fix: Add the specific information about all potential recipients of personal data in the list provided by Article 14(c), including any third countries for which transfer is intended along with details on adequacy decisions, appropriate safeguards and accessibility to these references as per Article 14(f).",0.429,Partially compliant
www_github_com_privacy_001,www_github_com_privacy,github privacy  github skip to content navigation menu toggle navigation sign in appearance settings privacy platform github copilot write better code with ai github spark new build and deploy intelligent apps github models new manage and compare prompts github advanced security find and fix vulnera...,41,0.458,0.035,Partially compliant,0.5,"Article: Article 41 – Monitoring of approved codes of conduct by a supervisory authority or body with proper accreditation and expertise.
Verdict: Partially compliant (specifically regarding monitoring actions).
Why: The paragraph mentions GitHub Copilot, AI for coding assistance without explicitly addressing the need to monitor its alignment with GDPR standards which is necessary due process under Article 41(2)(a) and (c). It also lacks transparency on how infringements would be handled as per the requirements.
Fix: Include a statement confirming GitHub has demonstrated independence, expertise, established proper procedures for monitoring compliance with its code of conduct using AI tools like Copilot, including transparent complaint handling processes and regular review mechanisms to fully align with GDPR Article 41(2)(a) - (c).",0.373,Partially compliant
www_spotify_com_privacy_001,www_spotify_com_privacy,"oh no! spotify this page got tripped up there was an error and we couldnt load the page. you could try refreshing or go back . if all else fails, why not go for a dance and come back later? spotify select country  2025 spotify ab",45,0.333,0.026,Partially compliant,0.5,"Article: Article 45 — Transfer on the basis of an adequacy decision.
Verdict: Partially compliant.
Why: The paragraph mentions that there is an error and advises to try refreshing or coming back later, but it does not discuss data protection rules for transfers as required by GDPR Article 45 (a). It also lacks explicit consent from the user which should be obtained before processing personal data.
Fix: Include information about obtaining valid and informed consent where applicable; ensure that all mentioned practices comply with transfer adequacy requirements outlined in the relevant law, considering specific sectoral guidelines if necessary for Spotify's operations within select countries notified as ""spotify ab.""",0.34,Partially compliant
www_ebay_com_privacy_001,www_ebay_com_privacy,"security measure  ebay skip to main content ebay home please verify yourself to continue error to keep ebay a safe place to buy and sell, we will occasionally ask you to verify yourself. this helps us to block unauthorized users from entering our site. please verify yourself view accessibility optio...",18,0.417,0.026,Partially compliant,0.5,"Article: Article 18 - Right to restriction of processing
Verdict: Partially compliant
Why: The paragraph does mention verifying personal data accuracy and provides accessibility options, which aligns with GDPR principles. However, it lacks clear reference to the process for requesting a restriction on use when erasure is contested or unlawful processing occurs as stated in Article 18(c)–(d).
Fix: Include specific instructions and contact details where users can submit requests related to data accuracy contestation (a), legal claims establishment/exercise, and defendance (c), along with the verification process for unlawful processing when they objected erasure under Article 21. Also ensure proper implementation of these rights according to GDPR compliance guidelines without assuming user technical knowledge regarding browser versions or accessibility issues as a primary concern in such communications.",0.361,Partially compliant
www_pfizer_com_privacy_001,www_pfizer_com_privacy,"u.s. privacy policy  pfizer sorry, you need to enable javascript to visit this website. skip to main content science clinical trials guide to clinical trials clinical trials in children data and results integrity and transparency diversity plain language study results expanded access  compassionate ...",14,0.708,0.21,Partially compliant,0.5,"Article: Article 14(1) GDPR — Information to be provided where personal data have not been obtained from the data subject.
Verdict: Partially compliant
Why: The paragraph acknowledges providing information about processing purposes and legal basis but lacks specific details on other required points like identity of controller, recipients for cross-border transfers etc. as per GDPR Article 14(1).
Fix: Provide clear identification (name, contact info) of the entity/controller conducting the data activity along with its representative's information if any; specify legal basis and details about categories involved in processing activities where applicable; give explicit recipients or category for personal data transfers including adequacy decisions.",0.48,Partially compliant
www_edx_org_privacy_001,www_edx_org_privacy,edx privacy policy  edx learn search most popular programs cs50s introduction to computer science harvardx  course artificial intelligence: implications for business strategy mit sloan school of management  executive education supply chain dynamics mitx  course computing in python iii: data structur...,14,0.708,0.076,Partially compliant,0.5,"Article: Article 14(1) GDPR — Information to be provided where personal data have not been obtained from the data subject.
Verdict: Partially compliant
Why: The paragraph provides some required information such as purpose of processing and categories of personal data but lacks details about identity, contact details for representative or supervisory authority (ePrivacy Directive), recipients other than possible transfers to third countries.
Fix: Include comprehensive identities and addresses along with the relevant legal basis; mention ePrivacy compliance if applicable in transferring data outside EU/EEA, etc.",0.446,Partially compliant
www_accor_com_privacy_001,www_accor_com_privacy,accor group book now open in a new tab find a job open in a new tab search ac 00.000 0.00% en who we are who we are accor at a glance what drives us people at our heart people at our heart people at our heart our heartist ethos career growth  development our culture of inclusion community engagement...,47,0.375,0.009,Partially compliant,0.5,"Article: Article 47 — Binding corporate rules (BCR) for multinational group entities.
Verdict: Partially compliant.
Why: The paragraph does mention aspects related to the structure of a company and data protection but lacks explicit reference to legally binding rights on data subjects, enforcement mechanisms within the GDPR framework, and specifics about international transfers which are crucial for full BCR documentation under Article 47.
Fix: Include an unequivocal statement regarding how personal data will be protected during cross-border transfer to countries outside the EU with adequate safeguards in place as per GDPR requirements, and clearly define the mechanisms that ensure legally binding rights for individuals on data subject matters are upheld within this multinational entity.",0.346,Partially compliant
